Date,Open,High,Low,Adj Close,Volume,Ticker
2019-01-07,11.86,13.24,11.86,12.41,391600,BE
2019-01-08,13.0,13.25,12.47,12.73,329500,BE
2019-01-09,12.8,13.63,12.01,12.14,643500,BE
2019-01-10,12.09,12.38,11.66,12.02,474500,BE
2019-01-11,11.84,12.69,11.81,12.24,387700,BE
2019-01-14,12.48,12.56,11.94,12.15,174300,BE
2019-01-15,12.13,13.4,12.053,12.59,442400,BE
2019-01-16,13.22,13.35,12.65,12.82,253000,BE
2019-01-17,12.86,13.48,12.6,13.11,436600,BE
2019-01-18,13.19,13.42,12.58,12.67,494300,BE
2019-01-22,12.38,12.42,11.4,12.02,727800,BE
2019-01-23,11.89,12.08,11.82,12.0,237900,BE
2019-01-24,12.13,12.155,11.4,11.58,663600,BE
2019-01-25,11.71,11.99,11.29,11.53,570800,BE
2019-01-28,11.19,11.49,10.61,10.7,937500,BE
2019-01-29,10.5,10.55,9.75,9.88,1265200,BE
2019-01-30,9.89,9.921,9.12,9.21,1234700,BE
2019-01-31,9.09,9.53,8.88,9.45,2517300,BE
2019-02-01,9.54,10.88,9.4,10.23,1714500,BE
2019-02-04,10.3,11.27,10.3,10.76,1245200,BE
2019-02-05,10.9,10.94,10.02,10.69,1415600,BE
2019-02-06,11.01,11.94,10.01,10.16,3706800,BE
2019-02-07,10.28,10.57,10.0,10.35,1285700,BE
2019-02-08,10.45,10.45,9.81,10.06,860800,BE
2019-02-11,10.09,10.3,9.32,9.41,801100,BE
2019-02-12,9.49,9.75,9.33,9.6,840000,BE
2019-02-13,10.15,11.1,9.87,11.0,2450400,BE
2019-02-14,10.95,12.17,10.64,11.69,2769300,BE
2019-02-15,11.69,11.69,10.93,11.31,1510300,BE
2019-02-19,11.2,11.43,10.695,11.13,1087600,BE
2019-02-20,11.16,12.605,10.81,12.36,1162200,BE
2019-02-21,12.35,13.31,12.25,12.92,2488900,BE
2019-02-22,13.01,14.32,13.01,14.02,1977000,BE
2019-02-25,14.38,15.0,13.98,13.98,1507300,BE
2019-02-26,13.9,14.83,13.6,14.7,1055400,BE
2019-02-27,14.65,14.66,13.7,13.8,967800,BE
2019-02-28,13.66,14.51,13.6,14.47,715100,BE
2019-03-01,14.54,16.48,14.47,16.299999,1801800,BE
2019-03-04,16.51,16.629998999999998,14.6,15.13,1272400,BE
2019-03-05,15.01,15.57,15.01,15.26,601800,BE
2019-03-06,15.13,15.21,14.025,14.12,986800,BE
2019-03-07,14.22,14.58,13.32,14.28,755100,BE
2019-03-08,13.86,14.082,13.05,13.5,609500,BE
2019-03-11,13.34,15.36,13.21,14.3,1504400,BE
2019-03-12,14.24,14.83,13.75,13.87,1103200,BE
2019-03-13,13.93,14.2,13.15,13.27,1474800,BE
2019-03-14,13.25,13.252,12.52,12.53,1077300,BE
2019-03-15,12.55,13.07,12.53,12.9,1564000,BE
2019-03-18,13.1,13.408,12.62,12.92,1298300,BE
2019-03-19,12.95,13.57,12.81,12.93,1269000,BE
2019-03-20,12.9,13.12,12.65,12.66,718900,BE
2019-03-21,12.68,13.95,12.387,12.55,2663700,BE
2019-03-22,12.55,12.62,11.68,11.8,1461600,BE
2019-03-25,11.6,11.88,10.94,11.8,1270100,BE
2019-03-26,11.9,12.4,11.7,11.99,1202300,BE
2019-03-27,12.0,12.5,11.42,12.27,1007500,BE
2019-03-28,12.2,12.39,11.71,12.16,913100,BE
2019-03-29,12.2,12.95,12.2,12.92,929700,BE
2019-04-01,13.0,13.1,12.41,12.87,1150900,BE
2019-04-02,12.87,13.16,12.63,12.98,1223100,BE
2019-04-03,13.12,13.95,12.8,13.3,1496300,BE
2019-04-04,13.16,13.23,12.64,12.68,767200,BE
2019-04-05,12.8,12.91,12.36,12.65,1114900,BE
2019-04-08,12.54,12.54,11.97,12.38,1031600,BE
2019-04-09,12.34,12.58,12.02,12.34,772300,BE
2019-04-10,12.35,12.5,11.87,11.98,740100,BE
2019-04-11,11.95,12.53,11.76,12.51,1044300,BE
2019-04-12,12.61,13.15,12.21,12.39,666800,BE
2019-04-15,12.37,12.37,11.85,11.89,767900,BE
2019-04-16,11.9,12.57,11.9,12.44,790000,BE
2019-04-17,12.57,13.1,12.57,12.94,1548500,BE
2019-04-18,12.91,13.1,12.36,12.96,698700,BE
2019-04-22,13.03,13.19,12.74,12.98,528500,BE
2019-04-23,13.04,13.16,12.77,12.86,898800,BE
2019-04-24,12.86,13.02,12.66,12.93,433100,BE
2019-04-25,12.91,12.976,12.23,12.34,565000,BE
2019-04-26,12.57,12.59,12.1,12.3,782700,BE
2019-04-29,13.02,13.87,12.81,13.16,3887900,BE
2019-04-30,13.36,13.9,13.06,13.62,2267200,BE
2019-05-01,13.65,14.6,13.62,14.32,2036400,BE
2019-05-02,14.54,14.6,13.66,14.13,1325800,BE
2019-05-03,14.21,15.3,14.2,15.26,2326100,BE
2019-05-06,14.5,15.45,14.3,14.72,1489100,BE
2019-05-07,14.7,15.0,13.29,14.16,2691000,BE
2019-05-08,14.19,14.64,13.31,13.34,1802300,BE
2019-05-09,13.24,13.91,12.96,13.7,1249300,BE
2019-05-10,13.67,13.73,13.18,13.37,883600,BE
2019-05-13,13.05,13.4,12.92,13.2,1016900,BE
2019-05-14,13.28,13.96,13.28,13.67,1010500,BE
2019-05-15,13.56,13.879,13.32,13.35,810500,BE
2019-05-16,13.37,13.55,12.9,12.99,1127700,BE
2019-05-17,12.87,13.01,11.68,11.9,2810800,BE
2019-05-20,12.06,12.06,11.64,11.72,1107300,BE
2019-05-21,11.82,12.32,11.73,12.28,977800,BE
2019-05-22,12.2,12.39,11.9,12.0,1591100,BE
2019-05-23,11.9,12.0,11.31,11.63,862200,BE
2019-05-24,11.7,11.83,11.09,11.17,864700,BE
2019-05-28,11.12,11.44,10.8,11.27,1621500,BE
2019-05-29,11.15,11.4,10.91,11.12,738000,BE
2019-05-30,11.12,11.42,10.69,10.86,767900,BE
2019-05-31,10.74,10.99,10.27,10.8,1037800,BE
2019-06-03,10.8,11.05,10.62,10.71,742400,BE
2019-06-04,10.92,11.065,10.71,10.8,708600,BE
2019-06-05,10.8,11.08,10.59,10.74,754000,BE
2019-06-06,10.77,10.88,9.925,10.1,1183700,BE
2019-06-07,10.17,10.37,9.95,10.22,1415500,BE
2019-06-10,10.29,10.81,10.15,10.43,1408000,BE
2019-06-11,10.65,11.19,10.44,10.48,1127200,BE
2019-06-12,10.48,10.77,10.37,10.5,924100,BE
2019-06-13,10.57,11.71,10.56,11.29,1673700,BE
2019-06-14,11.27,11.48,10.78,11.11,1282000,BE
2019-06-17,11.19,12.05,11.19,11.79,1302500,BE
2019-06-18,11.89,12.17,11.804,12.07,925000,BE
2019-06-19,11.99,12.2,11.72,12.17,1204800,BE
2019-06-20,12.57,12.75,11.875,12.44,2072800,BE
2019-06-21,12.37,12.68,11.65,11.72,1653900,BE
2019-06-24,11.7,11.75,11.2,11.56,1288800,BE
2019-06-25,11.52,11.8,11.26,11.53,1394300,BE
2019-06-26,11.5,12.15,11.484,11.82,1295800,BE
2019-06-27,11.83,12.305,11.49,11.64,1165000,BE
2019-06-28,11.71,12.4,11.71,12.27,8383200,BE
2019-07-01,12.99,13.065,12.32,12.51,2297400,BE
2019-07-02,12.55,12.74,11.95,12.63,2645300,BE
2019-07-03,12.66,12.73,12.36,12.41,585700,BE
2019-07-05,12.31,12.97,12.25,12.81,881500,BE
2019-07-08,12.82,12.96,12.34,12.92,753800,BE
2019-07-09,12.82,12.98,12.718,12.96,546100,BE
2019-07-10,13.0,13.19,12.93,13.05,1136900,BE
2019-07-11,13.22,13.3,12.7,12.74,1094300,BE
