Date,Open,High,Low,Adj Close,Volume,Ticker
2019-01-07,1.45,1.63,1.45,1.61,27100,BWEN
2019-01-08,1.66,1.68,1.6,1.6,20700,BWEN
2019-01-09,1.66,1.66,1.57,1.6,15600,BWEN
2019-01-10,1.61,1.7,1.53,1.53,18300,BWEN
2019-01-11,1.54,1.73,1.5,1.73,14700,BWEN
2019-01-14,1.73,1.73,1.6,1.66,25400,BWEN
2019-01-15,1.67,1.75,1.56,1.6,38800,BWEN
2019-01-16,1.62,1.73,1.53,1.53,14100,BWEN
2019-01-17,1.55,1.58,1.47,1.47,13400,BWEN
2019-01-18,1.49,1.58,1.47,1.56,15400,BWEN
2019-01-22,1.56,1.63,1.56,1.57,12000,BWEN
2019-01-23,1.59,1.62,1.51,1.56,85600,BWEN
2019-01-24,1.56,1.56,1.52,1.52,7000,BWEN
2019-01-25,1.55,1.55,1.52,1.52,4600,BWEN
2019-01-28,1.52,1.56,1.49,1.56,3500,BWEN
2019-01-29,1.55,1.55,1.52,1.53,11900,BWEN
2019-01-30,1.4,1.53,1.4,1.53,6000,BWEN
2019-01-31,1.51,1.56,1.5,1.5,3500,BWEN
2019-02-01,1.56,1.67,1.55,1.56,49700,BWEN
2019-02-04,1.57,1.62,1.5,1.5,13500,BWEN
2019-02-05,1.51,1.54,1.5,1.5,23700,BWEN
2019-02-06,1.5,1.5,1.36,1.44,18600,BWEN
2019-02-07,1.45,1.45,1.36,1.36,12500,BWEN
2019-02-08,1.4,1.45,1.37,1.38,14700,BWEN
2019-02-11,1.4,1.45,1.32,1.4,6900,BWEN
2019-02-12,1.4,1.45,1.33,1.34,25700,BWEN
2019-02-13,1.33,1.4,1.33,1.39,12500,BWEN
2019-02-14,1.4,1.43,1.36,1.37,50400,BWEN
2019-02-15,1.36,1.45,1.36,1.37,38500,BWEN
2019-02-19,1.4,1.48,1.4,1.45,14700,BWEN
2019-02-20,1.44,1.47,1.41,1.41,11200,BWEN
2019-02-21,1.43,1.44,1.41,1.44,13500,BWEN
2019-02-22,1.43,1.45,1.29,1.3,63100,BWEN
2019-02-25,1.34,1.43,1.31,1.43,82200,BWEN
2019-02-26,1.45,1.61,1.45,1.52,123400,BWEN
2019-02-27,1.56,1.65,1.38,1.51,61900,BWEN
2019-02-28,1.55,1.6,1.55,1.56,11500,BWEN
2019-03-01,1.5,1.6,1.46,1.57,36800,BWEN
2019-03-04,1.62,1.75,1.52,1.75,34300,BWEN
2019-03-05,1.75,1.79,1.67,1.69,18000,BWEN
2019-03-06,1.71,1.78,1.66,1.66,19100,BWEN
2019-03-07,1.68,1.85,1.68,1.73,34000,BWEN
2019-03-08,1.72,1.85,1.71,1.71,22400,BWEN
2019-03-11,1.81,1.82,1.7,1.71,13600,BWEN
2019-03-12,1.77,1.77,1.65,1.65,8900,BWEN
2019-03-13,1.65,1.74,1.65,1.65,32300,BWEN
2019-03-14,1.66,1.7,1.65,1.65,16800,BWEN
2019-03-15,1.65,1.75,1.65,1.71,27700,BWEN
2019-03-18,1.75,1.75,1.5,1.71,11100,BWEN
2019-03-19,1.73,1.73,1.69,1.69,2000,BWEN
2019-03-20,1.69,1.73,1.68,1.69,5400,BWEN
2019-03-21,1.72,1.73,1.65,1.65,29000,BWEN
2019-03-22,1.66,1.67,1.61,1.65,7000,BWEN
2019-03-25,1.64,1.66,1.58,1.59,12700,BWEN
2019-03-26,1.58,1.63,1.53,1.53,21100,BWEN
2019-03-27,1.55,1.7,1.55,1.7,8600,BWEN
2019-03-28,1.67,1.71,1.65,1.69,4600,BWEN
2019-03-29,1.67,1.69,1.67,1.68,2300,BWEN
2019-04-01,1.67,1.68,1.62,1.62,16600,BWEN
2019-04-02,1.62,1.69,1.61,1.67,10900,BWEN
2019-04-03,1.67,1.69,1.63,1.63,5700,BWEN
2019-04-04,1.66,1.69,1.66,1.67,5900,BWEN
2019-04-05,1.67,1.68,1.64,1.68,2200,BWEN
2019-04-08,1.68,1.68,1.64,1.67,14500,BWEN
2019-04-09,1.64,1.66,1.64,1.66,4000,BWEN
2019-04-10,1.65,1.67,1.6,1.6,25000,BWEN
2019-04-11,1.64,1.67,1.64,1.66,5300,BWEN
2019-04-12,1.66,1.7,1.65,1.7,14900,BWEN
2019-04-15,1.68,1.74,1.67,1.7,19800,BWEN
2019-04-16,1.71,1.71,1.69,1.69,4000,BWEN
2019-04-17,1.7,1.74,1.68,1.68,13700,BWEN
2019-04-18,1.7,1.93,1.7,1.84,29300,BWEN
2019-04-22,1.86,1.93,1.86,1.89,7600,BWEN
2019-04-23,2.0,2.0,1.86,1.91,31800,BWEN
2019-04-24,1.88,1.93,1.88,1.91,25400,BWEN
2019-04-25,1.99,1.99,1.86,1.95,35400,BWEN
2019-04-26,2.1,2.19,1.96,2.03,195500,BWEN
