Date,Open,High,Low,Adj Close,Volume,Ticker
2019-01-07,5.12,5.39,4.9,5.26,1458700,ENPH
2019-01-08,5.33,5.48,5.21,5.35,1222600,ENPH
2019-01-09,5.41,5.77,5.41,5.63,1326300,ENPH
2019-01-10,5.54,5.77,5.44,5.63,1056100,ENPH
2019-01-11,5.6,5.7,5.57,5.68,812100,ENPH
2019-01-14,5.64,5.84,5.48,5.82,1444200,ENPH
2019-01-15,5.9,6.18,5.82,6.15,2436600,ENPH
2019-01-16,6.13,6.74,6.1,6.68,3826000,ENPH
2019-01-17,6.78,7.2,6.75,6.82,3367400,ENPH
2019-01-18,6.85,6.98,6.43,6.53,2219200,ENPH
2019-01-22,6.48,6.77,6.41,6.59,1621900,ENPH
2019-01-23,6.61,6.66,6.39,6.51,1083400,ENPH
2019-01-24,6.5,6.68,6.44,6.66,1550200,ENPH
2019-01-25,6.72,6.83,6.52,6.72,1550100,ENPH
2019-01-28,6.64,7.09,6.64,6.9,1563500,ENPH
2019-01-29,6.99,7.19,6.94,7.1,1696200,ENPH
2019-01-30,7.14,7.29,7.04,7.16,1515800,ENPH
2019-01-31,7.16,7.58,7.1,7.23,3743400,ENPH
2019-02-01,7.26,7.35,6.6,7.0,4422100,ENPH
2019-02-04,7.02,7.06,6.8,7.0,1289000,ENPH
2019-02-05,6.87,7.33,6.87,7.3,1842800,ENPH
2019-02-06,7.3,7.53,7.26,7.32,1471500,ENPH
2019-02-07,7.32,7.6,7.27,7.48,1814100,ENPH
2019-02-08,7.4,7.55,7.27,7.44,1095300,ENPH
2019-02-11,7.55,7.78,7.45,7.73,2439100,ENPH
2019-02-12,7.9,7.94,7.46,7.6,1902100,ENPH
2019-02-13,7.65,7.84,7.51,7.68,1192600,ENPH
2019-02-14,7.63,7.83,7.61,7.66,1088200,ENPH
2019-02-15,7.72,7.78,7.56,7.65,1298100,ENPH
2019-02-19,7.57,7.65,7.41,7.56,1608400,ENPH
2019-02-20,7.49,7.52,7.01,7.23,2484200,ENPH
2019-02-21,7.26,7.53,7.26,7.37,1245700,ENPH
2019-02-22,7.42,7.78,7.38,7.78,1611000,ENPH
2019-02-25,7.82,8.15,7.71,8.06,2175700,ENPH
2019-02-26,8.01,8.18,7.85,8.09,2395000,ENPH
2019-02-27,8.4,9.12,8.02,8.87,6182200,ENPH
2019-02-28,9.0,9.4,8.77,9.07,3523400,ENPH
2019-03-01,9.11,9.3,9.03,9.1,4636300,ENPH
2019-03-04,9.19,9.24,8.65,8.78,4228500,ENPH
2019-03-05,8.76,8.86,8.31,8.7,2422600,ENPH
2019-03-06,8.85,9.07,8.2,8.38,2475000,ENPH
2019-03-07,8.34,8.63,8.24,8.29,2912200,ENPH
2019-03-08,8.19,8.48,8.03,8.46,1854800,ENPH
2019-03-11,8.44,8.9,8.43,8.84,2338300,ENPH
2019-03-12,8.84,9.04,8.78,9.0,1373900,ENPH
2019-03-13,9.05,9.38,9.05,9.36,1758800,ENPH
2019-03-14,9.35,9.53,9.23,9.38,1860900,ENPH
2019-03-15,9.4,9.44,9.03,9.05,2248800,ENPH
2019-03-18,9.18,9.7,9.18,9.67,1495000,ENPH
2019-03-19,8.86,9.46,8.8,9.2,3672300,ENPH
2019-03-20,9.14,9.4,9.0,9.18,1771500,ENPH
2019-03-21,9.22,9.57,9.15,9.38,1704000,ENPH
2019-03-22,9.35,9.48,9.04,9.19,1662200,ENPH
2019-03-25,9.19,9.2,8.61,9.03,2011600,ENPH
2019-03-26,9.09,9.09,8.57,8.71,2022500,ENPH
2019-03-27,8.74,8.83,8.57,8.8,1029800,ENPH
2019-03-28,8.82,9.1,8.76,9.08,1464100,ENPH
2019-03-29,9.17,9.4,9.15,9.23,1841300,ENPH
2019-04-01,9.15,9.32,9.06,9.26,2439300,ENPH
2019-04-02,9.27,9.42,9.16,9.35,1148500,ENPH
2019-04-03,9.4,9.79,9.4,9.69,2388300,ENPH
2019-04-04,9.6,9.74,9.47,9.52,1188700,ENPH
2019-04-05,9.53,9.98,9.53,9.84,2576400,ENPH
2019-04-08,10.0,10.25,9.97,10.24,2293000,ENPH
2019-04-09,10.24,10.36,10.0,10.03,1900800,ENPH
2019-04-10,10.01,10.3,10.01,10.15,1761900,ENPH
2019-04-11,10.18,10.18,9.76,9.8,1861600,ENPH
2019-04-12,9.93,10.09,9.85,9.93,1163100,ENPH
2019-04-15,9.99,10.18,9.41,9.59,2116600,ENPH
2019-04-16,9.62,9.76,9.56,9.66,1174900,ENPH
2019-04-17,9.75,9.78,9.61,9.73,898300,ENPH
2019-04-18,9.73,9.84,9.39,9.45,1186800,ENPH
2019-04-22,9.43,9.44,9.15,9.28,1438100,ENPH
2019-04-23,9.32,9.86,9.23,9.75,2711600,ENPH
2019-04-24,9.78,10.0,9.64,9.83,1299200,ENPH
2019-04-25,9.85,9.99,9.76,9.91,1144900,ENPH
2019-04-26,9.92,10.47,9.9,10.43,4421400,ENPH
2019-04-29,10.38,10.49,10.2,10.21,2043500,ENPH
2019-04-30,10.29,10.29,9.8,10.04,2668000,ENPH
2019-05-01,12.3,13.2,12.0,12.98,15852500,ENPH
2019-05-02,12.4,13.04,12.36,12.93,3634000,ENPH
2019-05-03,12.93,13.88,12.93,13.83,4101400,ENPH
2019-05-06,13.5,13.9,13.43,13.75,2482600,ENPH
2019-05-07,13.65,14.29,13.65,14.21,3277600,ENPH
2019-05-08,14.27,14.32,13.55,13.93,2366500,ENPH
2019-05-09,13.83,13.91,13.19,13.56,2544000,ENPH
2019-05-10,13.45,14.13,13.42,14.02,2635600,ENPH
2019-05-13,13.65,13.95,13.27,13.69,2320000,ENPH
2019-05-14,13.75,14.16,13.75,14.02,2137800,ENPH
2019-05-15,13.96,14.64,13.93,14.58,2890200,ENPH
2019-05-16,14.65,14.95,14.2,14.82,2390400,ENPH
2019-05-17,14.75,14.89,14.41,14.65,1779000,ENPH
