Date,Open,High,Low,Adj Close,Volume,Ticker
2019-01-07,10.37,10.8,10.15,10.56,1209500,RUN
2019-01-08,10.61,10.98,10.41,10.71,1441400,RUN
2019-01-09,10.76,11.61,10.73,11.47,1832700,RUN
2019-01-10,11.29,11.54,11.01,11.51,854200,RUN
2019-01-11,11.49,11.74,11.224,11.65,1135400,RUN
2019-01-14,11.54,11.87,11.4,11.73,948700,RUN
2019-01-15,11.75,11.89,11.54,11.74,656400,RUN
2019-01-16,11.79,12.0,11.61,11.69,1026000,RUN
2019-01-17,11.62,12.14,11.52,12.07,895900,RUN
2019-01-18,12.12,12.23,11.86,12.16,782500,RUN
2019-01-22,12.07,12.28,11.76,11.78,835700,RUN
2019-01-23,11.86,12.17,11.69,11.92,643100,RUN
2019-01-24,11.9,12.23,11.9,12.01,602300,RUN
2019-01-25,12.16,12.307,12.02,12.19,780300,RUN
2019-01-28,11.99,12.36,11.93,12.24,1086600,RUN
2019-01-29,12.32,12.35,12.11,12.23,734100,RUN
2019-01-30,12.37,12.49,12.17,12.4,585300,RUN
2019-01-31,12.42,13.3,12.41,13.3,1852200,RUN
2019-02-01,13.12,13.64,13.12,13.32,1168400,RUN
2019-02-04,13.32,13.69,13.21,13.66,776000,RUN
2019-02-05,13.69,14.14,13.62,13.92,1433300,RUN
2019-02-06,13.96,14.45,13.908,14.33,1170600,RUN
2019-02-07,14.26,14.61,14.12,14.6,1252200,RUN
2019-02-08,14.51,14.771,14.34,14.68,974200,RUN
2019-02-11,14.74,15.18,14.581,14.9,1753600,RUN
2019-02-12,14.9,15.0,14.77,14.93,783500,RUN
2019-02-13,15.01,15.24,14.88,15.15,1049800,RUN
2019-02-14,14.97,15.44,14.36,15.1,1641800,RUN
2019-02-15,15.17,15.28,15.05,15.26,777300,RUN
2019-02-19,15.5,15.55,15.3,15.47,1483000,RUN
2019-02-20,15.44,15.74,15.22,15.46,1497100,RUN
2019-02-21,15.5,15.59,15.26,15.5,886300,RUN
2019-02-22,15.58,15.94,15.41,15.82,1140000,RUN
2019-02-25,16.0,16.030001000000002,15.54,15.71,1147600,RUN
2019-02-26,15.66,15.78,15.44,15.64,1360500,RUN
2019-02-27,15.52,15.71,15.21,15.59,1174300,RUN
2019-02-28,15.53,15.85,15.45,15.51,2262900,RUN
2019-03-01,16.049999,16.25,15.61,15.96,2714400,RUN
2019-03-04,16.1,17.091998999999998,15.97,16.299999,3179400,RUN
2019-03-05,16.309998999999998,16.620001000000002,15.54,15.57,2239300,RUN
2019-03-06,15.65,16.0,15.155,15.21,1652200,RUN
2019-03-07,15.12,15.195,14.76,14.83,1220500,RUN
2019-03-08,14.37,14.81,14.26,14.73,1099200,RUN
2019-03-11,14.77,15.127,14.73,14.86,1184600,RUN
2019-03-12,14.94,15.05,14.71,14.73,848600,RUN
2019-03-13,14.78,14.94,14.54,14.73,1064400,RUN
2019-03-14,14.78,14.79,14.35,14.57,806600,RUN
2019-03-15,14.57,14.9,14.4,14.77,1284200,RUN
2019-03-18,14.8,15.06,14.65,14.83,960800,RUN
2019-03-19,14.88,14.97,14.615,14.68,712600,RUN
2019-03-20,14.58,15.04,14.56,14.85,1097300,RUN
2019-03-21,14.81,15.13,14.69,15.1,976400,RUN
2019-03-22,15.0,15.08,14.23,14.25,1248900,RUN
2019-03-25,14.2,14.41,14.01,14.08,680800,RUN
2019-03-26,14.22,14.319,14.04,14.23,668200,RUN
2019-03-27,14.23,14.33,13.73,14.23,934800,RUN
2019-03-28,14.25,14.33,13.96,14.27,785100,RUN
2019-03-29,14.37,14.48,13.99,14.06,1020500,RUN
2019-04-01,14.24,14.38,13.95,14.18,691700,RUN
2019-04-02,14.15,14.36,14.05,14.22,557100,RUN
2019-04-03,14.32,14.945,14.27,14.87,1040000,RUN
2019-04-04,14.84,14.97,14.7,14.82,781600,RUN
2019-04-05,14.9,15.4,14.83,15.24,1162700,RUN
2019-04-08,15.2,15.41,14.99,15.39,613200,RUN
2019-04-09,15.33,15.54,14.92,14.96,712400,RUN
2019-04-10,15.05,16.059998999999998,15.05,15.84,1294500,RUN
2019-04-11,15.81,16.17,15.69,15.86,1169500,RUN
2019-04-12,15.99,16.1,15.57,15.68,716100,RUN
2019-04-15,15.63,15.89,15.49,15.62,619000,RUN
2019-04-16,15.75,16.15,15.61,16.08,766300,RUN
2019-04-17,16.15,16.530001000000002,16.030001000000002,16.51,961200,RUN
2019-04-18,16.49,16.74,16.17,16.27,866800,RUN
2019-04-22,16.200001,16.299999,15.9,16.27,533900,RUN
2019-04-23,16.26,16.9,16.110001,16.690001000000002,1027600,RUN
2019-04-24,16.719998999999998,17.02,16.690001000000002,16.91,920200,RUN
2019-04-25,17.01,17.440001000000002,16.790001,16.93,1234200,RUN
2019-04-26,16.959999,17.120001000000002,16.74,17.1,725300,RUN
2019-04-29,17.18,17.309998999999998,17.059998999999998,17.129998999999998,810700,RUN
2019-04-30,16.34,16.5,14.79,15.21,2583700,RUN
2019-05-01,15.41,15.57,14.9,15.34,1167100,RUN
2019-05-02,15.32,15.46,14.9,15.44,893100,RUN
2019-05-03,15.5,16.084999,15.5,16.0,1167800,RUN
2019-05-06,15.6,16.52,15.51,16.459999,1037000,RUN
2019-05-07,16.690001000000002,16.959999,16.5,16.75,1252400,RUN
2019-05-08,16.83,16.91,16.43,16.6,1640600,RUN
2019-05-09,15.12,15.93,14.105,15.53,2534700,RUN
2019-05-10,15.44,15.53,14.75,15.07,1422500,RUN
2019-05-13,14.83,14.906,14.16,14.3,1256900,RUN
2019-05-14,14.34,14.98,14.34,14.77,1015200,RUN
2019-05-15,14.55,14.87,14.51,14.78,617700,RUN
2019-05-16,15.22,16.200001,15.11,16.07,1727900,RUN
2019-05-17,15.71,15.9,15.52,15.8,1115300,RUN
2019-05-20,15.5,15.92,15.29,15.71,699700,RUN
2019-05-21,15.95,16.889999,15.95,16.620001000000002,1468200,RUN
2019-05-22,16.5,16.860001,16.5,16.700001,733800,RUN
2019-05-23,15.9,16.27,15.215,15.45,1573600,RUN
2019-05-24,15.61,15.96,15.35,15.64,505000,RUN
2019-05-28,14.95,15.63,14.92,15.49,955400,RUN
2019-05-29,15.39,15.79,15.191,15.58,673300,RUN
2019-05-30,15.57,16.129998999999998,15.57,15.95,842800,RUN
2019-05-31,15.59,15.71,15.23,15.66,858600,RUN
2019-06-03,15.66,16.18,15.57,15.89,793500,RUN
2019-06-04,16.120001000000002,16.309998999999998,15.69,16.0,1014000,RUN
2019-06-05,16.07,16.24,15.678,16.18,707700,RUN
2019-06-06,16.18,16.24,15.81,16.190001000000002,506400,RUN
2019-06-07,16.34,16.76,16.290001,16.34,923400,RUN
2019-06-10,16.469998999999998,17.0,16.459999,16.6,1399300,RUN
2019-06-11,16.799999,17.0,16.18,16.51,950000,RUN
