Date,Open,High,Low,Close,Adj Close,Volume
2019-01-07,1.450000,1.630000,1.450000,1.610000,1.610000,27100
2019-01-08,1.660000,1.680000,1.600000,1.600000,1.600000,20700
2019-01-09,1.660000,1.660000,1.570000,1.600000,1.600000,15600
2019-01-10,1.610000,1.700000,1.530000,1.530000,1.530000,18300
2019-01-11,1.540000,1.730000,1.500000,1.730000,1.730000,14700
2019-01-14,1.730000,1.730000,1.600000,1.660000,1.660000,25400
2019-01-15,1.670000,1.750000,1.560000,1.600000,1.600000,38800
2019-01-16,1.620000,1.730000,1.530000,1.530000,1.530000,14100
2019-01-17,1.550000,1.580000,1.470000,1.470000,1.470000,13400
2019-01-18,1.490000,1.580000,1.470000,1.560000,1.560000,15400
2019-01-22,1.560000,1.630000,1.560000,1.570000,1.570000,12000
2019-01-23,1.590000,1.620000,1.510000,1.560000,1.560000,85600
2019-01-24,1.560000,1.560000,1.520000,1.520000,1.520000,7000
2019-01-25,1.550000,1.550000,1.520000,1.520000,1.520000,4600
2019-01-28,1.520000,1.560000,1.490000,1.560000,1.560000,3500
2019-01-29,1.550000,1.550000,1.520000,1.530000,1.530000,11900
2019-01-30,1.400000,1.530000,1.400000,1.530000,1.530000,6000
2019-01-31,1.510000,1.560000,1.500000,1.500000,1.500000,3500
2019-02-01,1.560000,1.670000,1.550000,1.560000,1.560000,49700
2019-02-04,1.570000,1.620000,1.500000,1.500000,1.500000,13500
2019-02-05,1.510000,1.540000,1.500000,1.500000,1.500000,23700
2019-02-06,1.500000,1.500000,1.360000,1.440000,1.440000,18600
2019-02-07,1.450000,1.450000,1.360000,1.360000,1.360000,12500
2019-02-08,1.400000,1.450000,1.370000,1.380000,1.380000,14700
2019-02-11,1.400000,1.450000,1.320000,1.400000,1.400000,6900
2019-02-12,1.400000,1.450000,1.330000,1.340000,1.340000,25700
2019-02-13,1.330000,1.400000,1.330000,1.390000,1.390000,12500
2019-02-14,1.400000,1.430000,1.360000,1.370000,1.370000,50400
2019-02-15,1.360000,1.450000,1.360000,1.370000,1.370000,38500
2019-02-19,1.400000,1.480000,1.400000,1.450000,1.450000,14700
2019-02-20,1.440000,1.470000,1.410000,1.410000,1.410000,11200
2019-02-21,1.430000,1.440000,1.410000,1.440000,1.440000,13500
2019-02-22,1.430000,1.450000,1.290000,1.300000,1.300000,63100
2019-02-25,1.340000,1.430000,1.310000,1.430000,1.430000,82200
2019-02-26,1.450000,1.610000,1.450000,1.520000,1.520000,123400
2019-02-27,1.560000,1.650000,1.380000,1.510000,1.510000,61900
2019-02-28,1.550000,1.600000,1.550000,1.560000,1.560000,11500
2019-03-01,1.500000,1.600000,1.460000,1.570000,1.570000,36800
2019-03-04,1.620000,1.750000,1.520000,1.750000,1.750000,34300
2019-03-05,1.750000,1.790000,1.670000,1.690000,1.690000,18000
2019-03-06,1.710000,1.780000,1.660000,1.660000,1.660000,19100
2019-03-07,1.680000,1.850000,1.680000,1.730000,1.730000,34000
2019-03-08,1.720000,1.850000,1.710000,1.710000,1.710000,22400
2019-03-11,1.810000,1.820000,1.700000,1.710000,1.710000,13600
2019-03-12,1.770000,1.770000,1.650000,1.650000,1.650000,8900
2019-03-13,1.650000,1.740000,1.650000,1.650000,1.650000,32300
2019-03-14,1.660000,1.700000,1.650000,1.650000,1.650000,16800
2019-03-15,1.650000,1.750000,1.650000,1.710000,1.710000,27700
2019-03-18,1.750000,1.750000,1.500000,1.710000,1.710000,11100
2019-03-19,1.730000,1.730000,1.690000,1.690000,1.690000,2000
2019-03-20,1.690000,1.730000,1.680000,1.690000,1.690000,5400
2019-03-21,1.720000,1.730000,1.650000,1.650000,1.650000,29000
2019-03-22,1.660000,1.670000,1.610000,1.650000,1.650000,7000
2019-03-25,1.640000,1.660000,1.580000,1.590000,1.590000,12700
2019-03-26,1.580000,1.630000,1.530000,1.530000,1.530000,21100
2019-03-27,1.550000,1.700000,1.550000,1.700000,1.700000,8600
2019-03-28,1.670000,1.710000,1.650000,1.690000,1.690000,4600
2019-03-29,1.670000,1.690000,1.670000,1.680000,1.680000,2300
2019-04-01,1.670000,1.680000,1.620000,1.620000,1.620000,16600
2019-04-02,1.620000,1.690000,1.610000,1.670000,1.670000,10900
2019-04-03,1.670000,1.690000,1.630000,1.630000,1.630000,5700
2019-04-04,1.660000,1.690000,1.660000,1.670000,1.670000,5900
